Asset Symbol,Asset Class,Asset Sub-Class,Asset Sector
VTI,Equity,US - Large Cap Growth Equities,
VONE,Equity,US - Large Cap Growth Equities,
VOO,Equity,US - Large Cap Growth Equities,
VTV,Equity,US - Large Cap Value Equities,
VUG,Equity,US - Large Cap Growth Equities,
SCHA,Equity,US - Small Cap Growth Equities,
VIOG,Equity,US - Small Cap Growth Equities,
VBK,Equity,US - Small Cap Growth Equities,
VEA,Equity,Global - Developed Markets Equities,
VWO,Equity,Global - Emerging Markets Equities,
VGT,Equity,US - All Cap Equities,Technology
VCR,Equity,US - All Cap Equities,Consumer Discretionary
VDC,Equity,US - All Cap Equities,Consumer Staples
CLOU,Equity,Global - Global Equities,Technology
WCLD,Equity,US - All Cap Equities,Technology
SKYY,Equity,US - All Cap Equities,Technology
BOTZ,Equity,Global - Developed Markets Equities,
ROBO,Equity,Global - Developed Markets Equities,Technology
QCLN,Equity,US - All Cap Equities,Energy
ICLN,Equity,Global - Developed Markets Equities,Energy
PBW,Equity,US - Small Cap Growth Equities,Energy
BRK-B,-,-,
BAM,-,-,
MKL,-,-,
VNQ,Real Estate,US - Real Estate,Real Estate
PDBC,Commodities,Commodities,
XLE,Equity,US - All Cap Equities,Energy
MXI,Equity,Global - Global Equities,Materials
IAU,Commodities,Commodities - Gold,
CEF,Commodities,Commodities,
FNV,Commodities,Commodities - Gold,
GBTC,Currency,Currency,
BND,Bond,US - Total Bond Market,
EDV,Bond,US - Long Term Government Bonds,
BLV,Bond,US - Long Term Government Bonds,
VGLT,Bond,US - Long Term Government Bonds,
BIV,Bond,US - Short Term Government Bonds,
VGIT,Bond,US - Short Term Government Bonds,
BSV,Bond,US - Short Term Government Bonds,
SHV,Bond,US - Short Term Government Bonds,
MUB,Bond,US - Municipal Bonds,
VCLT,Bond,US - Long Term Government Bonds,
BNDX,Bond,Global - Government Bonds,
VOX,Equity,US - Large Cap Growth Equities,Telecom
VDE,Equity,US - All Cap Equities,Energy
VFH,Equity,US - All Cap Equities,Financials
VHT,Equity,US - All Cap Equities,Healthcare
VIS,Equity,US - All Cap Equities,Industrials
VAW,Equity,US - All Cap Equities,Materials
VPU,Equity,US - All Cap Equities,Utilities
IEF,Bond,US - Short Term Government Bonds,
VBMFX,Bond,US - Total Bond Market,
SLV,Commodities,Commodities,
SIVR,Commodities,Commodities,
SLVP,Equity,Global - Global Equities,Materials
SLVO,Commodities,Commodities,Materials
SIL,Equity,Global - Global Equities,Materials
ZSL,Inverse Commodities,Inverse Commodities,
SPXV,Equity,US - Large Cap Growth Equities,Healthcare
IJH,Equity,US - Mid Cap Growth Equities,
VO,Equity,US - Mid Cap Growth Equities,
VCIT,Bond,Global - Corporate Bonds,
IBMM,Bond,US - Municipal Bonds,
IBMN,Bond,US - Municipal Bonds,
IBMO,Bond,US - Municipal Bonds,
QQQ,Equity,US - Large Cap Growth Equities,Technology
VYM,Equity,US - Large Cap Value Equities,
PEJ,Equity,US - Small Cap Blend Equities,Consumer Discretionary
GDX,Equity,Global - Global Equities,Materials
VB,Equity,US - Small Cap Growth Equities,
ARKG,Equity,US - All Cap Equities,Healthcare
ARKK,Equity,US - All Cap Equities,Technology
SPY,Equity,US - Large Cap Growth Equities,
IVV,Equity,US - Large Cap Growth Equities,
IWF,Equity,US - Large Cap Growth Equities,
IWM,Equity,US - Small Cap Growth Equities,
IJR,Equity,US - Small Cap Blend Equities,
LQD,Bond,US - Corporate Bonds,
VIG,Equity,US - Large Cap Growth Equities,
IWD,Equity,US - Large Cap Value Equities,
XLK,Equity,US - All Cap Equities,Technology
VCSH,Bond,Global - Corporate Bonds,
USMV,Equity,US - Large Cap Growth Equities,
ITOT,Equity,US - Large Cap Growth Equities,
IVW,Equity,US - Large Cap Growth Equities,
TIP,Bond,US - Inflation-Protected Bonds,
IWB,Equity,US - Large Cap Growth Equities,
MBB,Bond,Mortgage Backed Securities,
SCHX,Equity,US - Large Cap Growth Equities,
XLV,Equity,US - All Cap Equities,Healthcare
IWR,Equity,US - All Cap Equities,
HYG,Bond,US - Corporate Bonds,
XLF,Equity,US - All Cap Equities,Financials
DIA,Equity,US - Large Cap Value Equities,Industrials
IGSB,Bond,US - Corporate Bonds,
QUAL,Equity,US - Large Cap Growth Equities,
VV,Equity,US - Large Cap Growth Equities,
SHY,Bond,US - Short Term Government Bonds,
PFF,Preferred Stock,Preferred Stock/Convertible Bonds,
TLT,Bond,US - Long Term Government Bonds,
IVE,Equity,US - Large Cap Value Equities,
XLY,Equity,US - All Cap Equities,Consumer Discretionary
VBR,Equity,US - Small Cap Blend Equities,
SCHB,Equity,US - Large Cap Growth Equities,
RSP,Equity,US - Large Cap Blend Equities,
MDY,Equity,US - Mid Cap Growth Equities,
SDY,Equity,US - Large Cap Value Equities,
SCHD,Equity,US - Large Cap Value Equities,
XLI,Equity,US - All Cap Equities,Industrials
IWP,Equity,US - All Cap Equities,
JPST,Bond,Global - Corporate Bonds,
GOVT,Bond,US - Long Term Government Bonds,
DVY,Equity,US - Large Cap Value Equities,
DGRO,Equity,US - Large Cap Value Equities,
VGK,Equity,Global - Developed Markets Equities - Canada & Europe,
SCHP,Bond,US - Inflation-Protected Bonds,
VXF,Equity,US - All Cap Equities,
XLP,Equity,US - All Cap Equities,Consumer Staples
SCHG,Equity,US - Large Cap Growth Equities,
MTUM,Equity,US - Large Cap Growth Equities,
ESGU,Equity,US - Large Cap Growth Equities,
VMBS,Bond,Mortgage Backed Securities,
