Asset Symbol,Asset Class,Asset Sub-Class,Asset Sector,Asset Country
VOO,Equity,US - Large Cap Growth Equities,,USA
ROBO,Equity,Global - Developed Markets Equities,Technology,Global
QCLN,Equity,Global - Global Equities,Energy,USA
ICLN,Equity,Global - Developed Markets Equities - Canada & Europe,Energy,Global
VNQ,Real Estate,US - Real Estate,Real Estate,USA
XLE,Equity,US - All Cap Equities,Energy,USA
IAU,Commodities,Commodities - Gold,,USA
BND,Bond,US - Total Bond Market,,USA
EDV,Bond,US - Long Term Government Bonds,,USA
SHV,Bond,US - Short Term Government Bonds,,USA
MUB,Bond,US - Municipal Bonds,,USA
IEF,Bond,US - Short Term Government Bonds,,USA
VBMFX,Bond,US - Total Bond Market,,USA
ARKK,Equity,US - All Cap Equities,Technology,USA
SPY,Equity,US - Large Cap Growth Equities,,USA
IVV,Equity,US - Large Cap Growth Equities,,USA
LQD,Bond,US - Corporate Bonds,,USA
HYG,Bond,US - Corporate Bonds,,USA
SHY,Bond,US - Short Term Government Bonds,,USA
TLT,Bond,US - Long Term Government Bonds,,USA
RSP,Equity,US - Large Cap Blend Equities,,USA
SCHD,Equity,US - Large Cap Value Equities,,USA
DVY,Equity,US - Large Cap Value Equities,,USA
IWO,Equity,US - Small Cap Growth Equities,,USA
FVD,Equity,US - Large Cap Blend Equities,,USA
SPLG,Equity,US - Large Cap Blend Equities,,USA
IJS,Equity,US - Small Cap Value Equities,,USA
ARKW,Equity,US - Large Cap Growth Equities,Technology,USA
IJT,Equity,US - Small Cap Growth Equities,,USA
AMLP,Equity,US - All Cap Equities,Energy,USA
SJNK,Bond,US - Short Term Government Bonds,,USA
EWU,Equity,Global - Developed Markets Equities - Canada & Europe,,UK
RPG,Equity,US - Large Cap Growth Equities,,USA
IGLB,Bond,US - Corporate Bonds,,USA
GVI,Bond,US - Total Bond Market,,USA
FPX,Equity,US - Large Cap Growth Equities,,USA
SLYG,Equity,US - Small Cap Growth Equities,,USA
SH,Inverse Equity,Inverse Equities,,USA
FEZ,Equity,Global - Developed Markets Equities - Canada & Europe,,Europe
DES,Equity,US - Small Cap Value Equities,,USA
TLH,Bond,US - Long Term Government Bonds,,USA
FDL,Equity,US - Large Cap Value Equities,,USA
QQEW,Equity,US - Large Cap Growth Equities,,USA
RPV,Equity,US - Large Cap Value Equities,,USA
IWC,Equity,US - Small Cap Blend Equities,,USA
PTH,Equity,US - All Cap Equities,Healthcare,USA
KSA,Equity,Global - Emerging Markets Equities - Others,,Saudi Arabia
EES,Equity,US - Small Cap Blend Equities,,USA
TZA,Inverse Equity,Inverse Equities,,USA
DWAS,Equity,US - Small Cap Growth Equities,,USA
KIE,Equity,US - Large Cap Blend Equities,Financials,USA
GBF,Bond,US - Total Bond Market,,USA
RZV,Equity,US - Small Cap Value Equities,,USA
TAN,Equity,Global - Global Equities,Energy,Global
GRID,Equity,Global - Developed Markets Equities,Materials,Global
DBC,Commodities,Commodities,,Global
EWY,Equity,Global - Developed Markets Equities - Asia,,South Korea
EWN,Equity,Global - Developed Markets Equities - Canada & Europe,,Netherlands
EWT,Equity,Global - Developed Markets Equities - Asia,,Taiwan
EWJ,Equity,Global - Developed Markets Equities - Asia,,Japan
EEM,Equity,Global - Emerging Markets Equities,,Emerging Markets
EFV,Equity,Global - Developed Markets Equities,,Global
FGD,Equity,Global - Global Equities,,Global
BWX,Bond,Global - Government Bonds,,Global
HYEM,Bond,Global - Corporate Bonds,,Emerging Markets
EMB,Bond,Global - Government Bonds,,Emerging Markets
UNG,Commodities,Commodities,,USA
VNQI,Real Estate,US - Real Estate,Real Estate,Global
KWEB,Equity,Global - Emerging Markets Equities - Asia,Technology,China
CHIQ,Equity,Global - Emerging Markets Equities - Asia,Consumer Discretionary,China
IGF,Equity,Global - Global Equities,Utilities,Global
MCHI,Equity,Global - Emerging Markets Equities - Asia,,China
FXI,Equity,Global - Emerging Markets Equities - Asia,,China
ASHR,Equity,Global - Emerging Markets Equities - Asia,,China
CQQQ,Equity,Global - Emerging Markets Equities - Asia,Technology,China
PGJ,Equity,Global - Emerging Markets Equities - Asia,,China
VEU,Equity,Global - Global Equities,,Global
AAXJ,Equity,Global - Emerging Markets Equities - Asia,,Asia
CWI,Equity,Global - Global Equities,,Global
EMGF,Equity,Global - Emerging Markets Equities,,Emerging Markets
VPL,Equity,Global - Developed Markets Equities - Asia,,Asia-Pacific
EPP,Equity,Global - Developed Markets Equities - Asia,,Asia-Pacific
DLS,Equity,Global - Developed Markets Equities,,Global
EFG,Equity,Global - Developed Markets Equities,,Global
EZU,Equity,Global - Developed Markets Equities - Canada & Europe,,Europe
DXJ,Equity,Global - Developed Markets Equities - Asia,,Asia
AGG,Bond,US - Total Bond Market,,USA
VBK,Equity,US - Small Cap Growth Equities,,USA
VWO,Equity,Global - Emerging Markets Equities,,Emerging Markets
VCLT,Bond,US - Long Term Government Bonds,,USA
VCIT,Bond,Global - Corporate Bonds,,Global
VIG,Equity,US - Large Cap Growth Equities,,USA
VCSH,Bond,Global - Corporate Bonds,,Global
SDY,Equity,US - Large Cap Value Equities,,USA
FDN,Equity,US - Large Cap Growth Equities,Technology,USA
SHM,Bond,US - Municipal Bonds,,USA
PRF,Equity,US - Large Cap Value Equities,,USA
ANGL,Bond,Global - Government Bonds,,Global
IEUR,Equity,Global - Developed Markets Equities - Canada & Europe,,Europe
PZA,Bond,US - Municipal Bonds,,USA
RDVY,Equity,US - Large Cap Value Equities,,USA
EWL,Equity,Global - Developed Markets Equities - Canada & Europe,,Europe
IGBH,Bond,US - Corporate Bonds,,USA
MLPX,Equity,Global - Global Equities,Energy,USA
GTO,Bond,US - Total Bond Market,,USA
EWD,Equity,Global - Developed Markets Equities - Canada & Europe,,Europe
FLEE,Equity,Global - Developed Markets Equities - Canada & Europe,,Europe
XSVM,Equity,US - Small Cap Value Equities,,USA
PXI,Equity,US - All Cap Equities,Energy,USA
PBD,Equity,Global - Global Equities,Energy,Global
SLX,Equity,US - All Cap Equities,Materials,USA
SOCL,Equity,Global - Global Equities,Technology,Global
GXC,Equity,Global - Emerging Markets Equities - Asia,,Asia
COM,Commodities,Commodities,,Global
RWX,Real Estate,Global - Real Estate,Real Estate,Global
NFRA,Equity,Global - Global Equities,Utilities,Global
CXSE,Equity,Global - Emerging Markets Equities - Asia,,Asia
AIA,Equity,Global - Emerging Markets Equities - Asia,,Asia
GMF,Equity,Global - Emerging Markets Equities - Asia,,Asia
SPEM,Equity,Global - Emerging Markets Equities,,Emerging Markets
VYMI,Equity,Global - Emerging Markets Equities,,Emerging Markets
GEM,Equity,Global - Emerging Markets Equities,,Emerging Markets
VWOB,Bond,Global - Emerging Markets Bonds,,Emerging Markets
HEWJ,Currency,Global - Developed Markets Equities - Asia,,Asia
EFU,Inverse Equities,Inverse Equities,,Global
EEV,Inverse Equities,Inverse Equities,,
TZA,Inverse Equities,Inverse Equities,,
SDOW,Inverse Equities,Inverse Equities,,USA
SH,Inverse Equities,Inverse Equities,
SRS,Inverse Equities,Inverse Equities,USA
GLD,Commodities,Commodities - Gold,,Global
BIL,Bond,US - Short Term Government Bonds,,USA
TBT,Inverse Debt,Inverse Bonds,,USA
